Reference, Reference URL, Secondary, Secondary URL, Pair Perpendicular Baseline (meters), Pair Temporal Baseline (days)
S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494.zip,S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A.zip,61,12
S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494.zip,S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9.zip,82,24
S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494.zip,S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09.zip,4,36
S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494.zip,S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270.zip,42,48
S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141125T204235_20141125T204302_003443_004066_3494.zip,S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0.zip,55,60
S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A.zip,S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141219T204235_20141219T204302_003793_004879_D4B9.zip,21,12
S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A.zip,S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141231T204233_20141231T204300_003968_004C6A_FA09.zip,65,24
S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A.zip,S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150112T204234_20150112T204301_004143_00505A_D270.zip,103,36
S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A.zip,S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150124T204232_20150124T204300_004318_005434_95E0.zip,6,48
S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20141207T204234_20141207T204301_003618_004478_5D9A.zip,S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SSV_20150205T204233_20150205T204300_004493_00582E_4EB2.zip,86,60
